Year,Astoria,Tillamook,Newport,Coos Bay,Brookings,Crescent City,Eureka,Fort Bragg,San Francisco,Monterey,Neah Bay,La Push,Westport,Ilwaco
1971,710,3330,5066,5086,1289,,,,,,,,,
1972,587,2811,4054,2610,951,,,,,,,,,
1973,336,2428,7605,6487,918,,,,,,,,,
1974,426,2919,6345,5726,1243,,,,,,,,,
1975,333,2652,4753,3427,861,,,,,,,,,
1976,893,3693,8383,8686,2650,,,,,,3760,4575,4912,3745
1977,552,1914,5462,7549,2500,,,,,,4786,3612,4018,3116
1978,547,1650,3907,4566,1957,1452,784,2728,1949,2060,3645,2962,2449,1622
1979,1459,2773,5372,5764,2055,11565,3469,6244,2695,1443,6117,4325,6213,3787
1980,768,3250,3744,3780,2044,2059,2717,4073,2608,3156,2682,2570,3562,2264
1981,764,2681,4747,5114,3522,3397,2748,2755,4226,1586,3654,1720,3210,1747
1982,0,272,345,2044,2927,4834,2614,3764,8093,2254,389,,7,
1983,241,1260,1848,160,301,759,1322,1612,1981,454,1014,156,45,639
1984,416,294,776,1208,1567,1047,1038,666,6700,406,309,4,,186
1985,270,488,922,4641,225,,,3315,5072,121,1292,140,,269
1986,814,326,414,4162,1081,410,1095,3084,4012,1060,623,199,105,953
1987,,2147,1584,3528,,,,4087,4071,1122,7,,,
1988,,2876,4021,7146,,,,5509,5465,1562,24,,,
1989,616,1531,1405,4863,383,68,111,4868,4352,2355,861,0,2,302
1990,306,2276,560,3624,357,280,434,1460,2727,574,657,209,1063,495
1991,407,362,587,1018,,,,3500,3200,400,958,52,171,438
1992,35,839,1684,163,,,,,3700,800,174,82,342,33
1993,55,155,770,28,,,,,3500,900,146,23,193,9
1994,,,,,56,,,,2000,400,,,,
1995,,549,1596,463,,,,,1800,1400,345,52,,
1996,,206,1308,305,185,10,128,1300,1300,300,147,7,77,
1997,,108,1296,219,38,,,,2300,,,,,
1998,,233,950,173,14,,,,1700,100,,,,
1999,,177,135,730,78,,,,2100,100,29,9,48,
2000,246,204,551,1064,84,,,,2179,211,,,71,48
2001,100,302,1081,668,150,,,,1392,27,,,70,26
2002,194,323,411,559,67,27,94,1327,1198,291,80,38,124,22
2003,143,148,626,573,106,,,2355,1212,178,132,91,192,32
2004,88,126,405,1302,53,167,,2095,1076,299,116,99,127,18
2005,234,,,,,,,,2586,779,146,125,131,49
2006,79,34,151,,,,,,2549,44,54,209,33,2
2007,153,86,170,895,95,,,1252,1152,255,2,57,55,31
2008,58,,,,,,,,,,9,73,131,8
2009,135,,,,,,,,,,2,124,194,43
2010,119,39,346,334,40,,,870,,,18,81,329,17
2011,24,23,101,83,86,16,33,1386,394,117,3,70,135,3
2012,25,22,312,298,67,,,973,1422,255,21,246,39,2
2013,46,196,325,1626,208,10,103,1251,1269,118,4,70,331,10
2014,65,40,932,1183,70,,,825,2058,104,5,140,192,35
2015,61,26,530,232,24,,,623,1250,127,3,174,273,26
2016,51,12,547,75,,,,618,1832,,4,31,151,32
2017,104,,,,,,,,2610,,112,129,170,15
2018,29,36,534,97,73,68,114,453,2298,,22,103,64,7
2019,41,12,374,22,133,90,58,413,2372,,25,152,14,14
