"","loo","loo_se","Model","knots"
"1",911.463596651351,54.7430211520056,"B-spline",6
"2",913.209364098755,50.8261561837235,"B-spline",12
"3",927.297549482502,49.7581501274978,"B-spline",18
"4",942.009864042905,48.6442038790975,"B-spline",24
"5",959.964387716206,48.2137114918564,"B-spline",30
"6",918.846194491536,52.6815672520348,"GP",6
"7",916.391763926295,52.4692353142358,"GP",12
"8",918.025522180581,51.199348036015,"GP",18
"9",920.456778424247,51.5190981888217,"GP",24
"10",922.903429275012,50.9075265820734,"GP",30
"11",955.002316142394,49.1710473136253,"RW",1
