"","loo","loo_se","Model","knots"
"1",286.635021478169,21.8772197789906,"B-spline",6
"2",278.787032342616,23.4717848228444,"B-spline",12
"3",270.333513883351,22.5518947450954,"B-spline",18
"4",265.585199626486,22.6021650718922,"B-spline",24
"5",266.044173878875,22.2049403881392,"B-spline",30
"6",291.388044423226,22.7344639922313,"GP",6
"7",291.136250864398,22.7592033547677,"GP",12
"8",281.384287709127,24.0535350151418,"GP",18
"9",279.223040908061,22.5907097152229,"GP",24
"10",269.734295288984,22.7871421056073,"GP",30
"11",273.772994798356,21.9419749888918,"RW",1
